,Glyphs,Encoded,Prediction,Perplexity,BestMatch
120,"['59', '76', '256', '?', '?', '607', '700', '76', '10', '76', '?']","['0', '24', '16', '21', '21', '0', '23', '24', '3', '24', '21']",ki hiva moko ki tomo ki tomo ki tomo ki tomo ki tomo ki tomo ki tomo ki to,315.2024552192974,ki raro ki te rano mata ui a ruga a te hihi e
121,"['430', '76', '70']","['9', '24', '0']",ma tupa rona,188.58004738651783,e tupa roa
122,"['730', '700', '513', '76']","['0', '23', '0', '24']",pakupaku,92.22030504233791,pakupaku
123,"['76', '755', '90']","['24', '0', '25']",he pakupaku,89.57551907722666,pakupaku
124,"['10', '6', '6', '8', '430', '2a', '10', '2', '62', '59', '9', '48', '700', '8', '670', '69', '30a']","['3', '1', '1', '7', '9', '17', '3', '11', '19', '0', '15', '0', '23', '7', '28', '20', '0']",i a hakahine hiva hiva hiva hiva hiva hiva hiva hiva hiva hiva hiva hiva hi,321.5523141455265,ka kake age haga piko te puke riva a ure haroharo i maea hara repo
125,"['600', '69', '600', '69', '1']","['5', '20', '5', '20', '2']",ka ko vai vai,87.11854643461848,ka koekoe mai
126,"['50', '1', '50', '1', '256', '50']","['0', '2', '0', '2', '16', '0']",pepe te ko nau nau nau hupe,422.3800611051006,e te manu vae ha
127,"['280', '600', '6', '75', '25']","['0', '5', '1', '0', '0']",i ana,44.15264079406628,ai ava
128,"['2a', '10', '256', '79', '1', '600', '95']","['17', '3', '16', '0', '2', '5', '29']",vae mai kupega,183.35649040483503,kai maika para
129,"['600', '61', '290', '61', '95']","['5', '12', '0', '12', '29']",ma makemake,136.8703636048807,ma makemake
130,"['70', '66', '600', '670']","['0', '10', '5', '28']",ki te vae nui pu,118.91154871504764,ki te vai uutu
131,"['56', '76', '670', '700', '90', '76', '607', '678', '4']","['0', '24', '28', '23', '25', '24', '0', '0', '4']",tomo tohu rikirikipiki e,190.69899928162994,i ahu rikiriki e
132,"['83', '76', '670', '74', '70', '53']","['0', '24', '28', '0', '0', '0']",gutugutu po,147.23196200341178,gutugutu po
133,"['208', '76', '7', '70', '381', '6', '90', '92', '90', '76', '90', '76', '2a', '10', '87', '256', '522', '5', '5', '5']","['0', '24', '22', '0', '6', '1', '25', '0', '25', '24', '25', '24', '17', '3', '0', '16', '30', '18', '18', '18']",ki hiriki hiva togari togari togari togari togari togari togari togari togari to,686.5166938092358,i hiva oti ga uka a torio a hoi ata
134,"['23', '76', '70', '1v', '69', '280', '76', '11', '2a', '23', '678', '23', '76', '22', '532', '451', '430', '76', '532', '298']","['0', '24', '0', '0', '20', '0', '24', '0', '17', '0', '0', '0', '24', '0', '0', '0', '9', '24', '0', '0']",gutu riki piki ki pige mi hiri ki pige mi hiri ki pige mi hiri ki pige mi ,788.0663599857413,ka iri age ra ki rano kau ki te gatu ma hami regarega
135,"['4', '1', '57', '1', '69', '1', '2', '607', '74']","['4', '2', '0', '2', '20', '2', '11', '0', '0']",ka koro puku mati te koro puku mati te koro puku mati te koro puku mati te ,253.63570142840337,ka oka age hau koka te korotea a kava te ruruki
136,"['40', '5', '600', '2a', '2a', '8', '8', '4']","['13', '18', '5', '17', '17', '7', '7', '4']",ko vae mai e,75.16402164937402,i te moai e
137,"['90', '6', '52', '280', '522']","['25', '1', '0', '0', '30']",ki a hina tunu ana tipina tunu ana tipina tunu ana tipina tunu ana tipina,415.077601445702,aha ana noho ana i tua te ataata
138,"['27', '700', '6', '6', '260', '8']","['0', '23', '1', '1', '0', '7']",moa ana ana ana ana ana ana ana ana ana ana ana ana ana ana a,297.7654087387294,aha ana noho ana i tua te ataata
139,"['70', '5']","['0', '18']",motu tata,150.51045394449997,motu iti
140,"['10', '711']","['3', '0']",ka huhu,91.0587422010226,ka huhuti
141,"['90', '90', '90', '70']","['25', '25', '25', '0']",pakupaku,92.22030504233791,pakupaku
142,"['90', '76', '70']","['25', '24', '0']",momomomomomomomomomomomomomomomomomomomomomomomomomomomomomomomomomomomomomomomomomomomomomo,164.27821846474745,he oho he rere he moko he kamo he kakari hau ro
143,"['1', '522', '4', '6']","['2', '30', '4', '1']",ka ko tua,77.70932715238527,a potu e
144,"['59', '55', '35']","['0', '0', '0']",momomomo,108.42081136616746,momomomo
145,"['6', '3', '522', '3', '22f', '3', '6', '74', '3', '145', '3', '102']","['1', '8', '30', '8', '27', '8', '1', '0', '8', '0', '8', '0']",a haga e mahaki,102.42241947879245,e hara e hara e
